VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
Misunderstandings - unable to pick up the tone of the message.,11,"Speed - sending information quickly and if they are checked regularly, getting a reply straight away.<br/>Ability to send attachments - saves paper.",1,2,1,2,2,30,20,20,2,98,1,"You need to consider the tone of your email to make sure it is clear and easily understood, also you need to consider what you are asking them to do and how long it will take them to complete it",5,2,6,Checking emails that are sent to all users but which are not relevant to me,2,1,2, , , ,6,7,8,9, ,Emails that are not checked before sending/forwarding so may contain content that is inappropriate for me.,8,1,8.5,5.3,6.5,9,6.5,9.1,8.3,9.3,10,5,8,7.7,7.2,5,10,8.7,8.1,9.5,10,2, , , ,Yes,1,0,Yes - training on the content and tone of emails would be useful,2,No,99,Treating each other with respect and considertation.  Understanding each other's workloads and commitments and being willing to help when necessary.,6, ,11,4,34,4,2,2,Not using the emails for personal use and thinking about the content of the emails before sending them so they do not cause offense.,4,1
no face to face comunitation,4,quick and also the is a electronic trace so if a document is lost it can be shown which department is to blame,2,1,3,1,2,10, ,5,2,98,2,dont send very often,88,2,5,alot of emails i recive are not relivent to me,2, , , , , , , ,8, , ,content not relivent means i am spending time deleting them,8,5,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,5,10,10,2, , , ,yes,1,0,yes,0,no,99, ,99, ,5,3,2,2,2,3,i am aware but as email is only something i use to compleate questionairs from the college it is not a concern,99,0
Too many unimportant e-mails are arriving in my in box every day,2,A written copy of something that has been said/asked/questioned etc,2,2,1,2,2,60,5,4,1,3,1,"If it isn't important, do not send it!",1,2,30,Trawling through 'cover your arse' e-mails or 'blanket send' e-mails that have no importance to me or my role,2,1,2, , ,5,6,7,8,9, ,E-mails from Directors or higher with poor grammar and/or spelling,6,1,10,5,5,10, ,10,10,10,10, ,10,5,10, ,10,10, ,10,10,1,1,1, ,Yes,1,0,Reject e-mails and send back to say they are inappropriate,4,No,99,Someone who can listen as well as talk...,2, ,7,4,21,5,1,1,I only use e-mails for College business; unlike some members of staff...,4,1
Waiting for a response can sometimes take a while,6,"It can be fast, does not cost, you can send an email anytime and anywhere, environmentally friendly (no paper)",1,4,1,4,2,63,40,60,2,50,1, ,99,1, , ,99, , , , , , , ,8, , ,If your interested the gym is open on saturdays.,8,8.1,6.8,7.5,5.3,8.2,5.4,7.9,7.1,2.6,6,8,7.9,8.2,6.8,5.3,6.9,6.8,6,3.8,8.3,1, ,1, ,YES,1,0, ,0, ,99, ,99, ,11,3,13,2,1,1,"Only send work related emails, always use correct grammer for audit purposes",4,1
You need to be able to articulate feelings into words to avoid the wrong message being received; this can be  time consuming - and some people are not willing or able to give it the time it requires,11,Accessibility - unlike trying to get hold of someone on the phone eg. engaged out of office etc,4,2,1,2, ,60,10,10,2,50,1, ,99,2,20,Receiving emails that are not relevant to me....not known until read through them!,2, , , , ,5, , ,8, , ,Receiving emails that are not relevant to me....not known until read through them! As a part-time staff member to avoid marginalisation I suppose I have to be included but....there are times when its clear the email is not intended for me.,8,10,10,10,10,5.1,5.3,10,10,10,10,10,9.7, , ,9.6,10,9.5,9.9,9.8,10,2, , , ,Yes,1,0,Training,2,Junk mail,5,"Supportive,understanding of demands on time, SOH, helpful eg. sharing resources (which rarely happens anywhere!!)trustworthy and reliable",3, ,11,4,48,5, ,2,What is inappropriate types of emails and what's not! eg. consider offensive content being received from a student which should be blocked. This should be reported to IT.,8,1
Recieving emails that do not apply to you.,3,To keep in touch with progress.<br/>To be contacted when not in the office.<br/>Being able to communicate important information.<br/>Allows others to maintain good communication with me.,4,1,1,1,2,60,20,20,2,50,1, ,99,2,12,Reading emails taht do not necessary apply to me.,2, , , , , , , ,8, , ,Difficult to pin point.,99,9,8.8,9.1,9.3,9.1,8.9,9.4,9.6,9.7,9.7,7.9,8.3,9.6,9.3,8.9,9.3,9.5,9.3,8.9,9.2,2, , , ,yes,1,0,Not sure,99,Not being able to access them any where.,3,Being able to communicate openly and honestly.,2, ,7,4,41,4,2,1,Confidentiality,7,1
 ,99,I have several WBL learners in different counties so this enables me to keep in touch with learners on a regular basis to help them achieve their qualification as learners only have one physical visit per month,4,3,1,3,2,60, , ,2,98,1,to ensure it is to the point and courteous,5,1, , ,99, , , , , , , , , ,10,"I am happy with the e mails received from Colleagues, they are to the point and only sent if they are relevant to me.",99,10,10,5,7,10,8,10,10,7,10,8,10,5,9.8,7,8,9.8,10,5,10,2, , , ,"For my work role, yes",1,0, ,0,no,99,"To maintain an open,trusting and reliable relationship and be available to provide support if/when.",3, ,7,3,8,3,2,1,"To ensure that e mails are used for the purpose intended, to consider the impact the e mail will have on the recipient and if it is not appropriate use an alternative approach. To ensure confidentiality.",6,1
 ,99, ,99,1,1,1,1,15,5,5,2,50,2, ,99,1, , ,99, , , , , , , ,8, , , ,99,7,7.2,5.8,5.8,6.3,5.9,6.5,6.8,6.2,6.6,7.3,7.5,7.3,7.3,8,8.2,7.9,7.8,8.1,8.2,2, , , ,yes,1,0, ,0, ,99, ,99, ,5,4,30,4,2,3, ,99,0
 ,99, ,99,1,3,1,2,20,10,10,2,50,1, ,99,2,10,Deleting spam,1, , , , , , , ,8,9, , ,99,1,9,3,2,2,5,5,6,7.1,4,5,8,8,6,4,4,5,6,9,5,2, ,2, , ,6,0, ,0, ,99, ,99, ,11,4,23,4,2,3, ,99,0
Meaning not communicated as easily as it is in a face to face meeting.,4,Speed,1,3,1,3,2,31,15,15,2,50,1, ,99,2,18,Emails to all users that have no relevance,2, , , , , , ,7,8,9, , ,99,5.3,9.9,2.9,5.2,9.8,4.3,9.8,5.1,9.8,5.6,9.8,9.8,9.9,9.8,9.9,9.8,9.9,9.9,9.8,9.9,2, ,2, ,Yes,1,0, ,0, ,99, ,99, ,11,4,23,2,1,3, ,99,0
There are occasions where trying to explain a complex issue in an e-mail is tricky. So following the e-mail up with a phone call in some instances is necessary.,9,"It's instant, there is a record of what has been sent in the ""sent items"" folder. Documents can be sent as an attachment. An e-mail can be sent to more than one recipient at a time.",1,1,1,2,2,40,10,20,2,98,1,I try to make sure the message I want to put across is easliy understood in the e-mail,5,2,8,"If an e-mail address is incorrect or entered incorrectly then the e-mail will be returned, meaning the time taken to compile the message is wasted.",5, , , , , , , ,8, , ,"Content that is not relevant to you - If there is a message regarding the main campus in Neath, then it is not relevant to any other campus for example Afan. The message need only be sent to those who use the Neath campus.",8, ,8,7,8,7,10,10,4,9,10,5,10,8,9,7,4,10,6,10,10,2, , , ,"Yes, the increasing need for instant communication and the more business is done overseas or over vast distances means e-mail usage will continue to grow.",3,7,"Would a phone call be more useful? If an e-mail is just passing on a message, use the phone first.",7,Not that I can think of at the moment.,99,Being able to send an e-mail or pick up the phone to a colleague to discuss an issue and feel comfortable being able to contact them.,2, ,5,3,2,3,2,2,I make sure I am polite and to the point in my messages.,6,1
Too much dross sent to everyone,3,Quick and simple to use,1,1,1,2, ,30,15,15,1,5,1,avoid the dross,1,2,16,Having to read a long e mail which I should not have recieved. Getting an e mail in error but you need to read it to be able to send it to the correct person,2, , , , , ,6,7,8,9, ,Messages to everyone on campus to say that the canteen at Neath is closing early,8,6,5.4,5.5,5.4,5.6,5.6,5.5,5.6,4.8,5.6,6.2,5.7,6.1,6.4,6.8,6,5.1,5.6,4.6,5.1,2, , , ,yes,1,0,better training,2,no,99,understand each other,6, ,5,4,21,6,1,1,Be careful who you contact and the content .,6,1
Too many emails that don't concern you - often people don't state who they are for or the subject clearly.,3,Instant.<br/>Details in writing so no confusion as opposed to oral comm.<br/>Can be sent to a number of recipients in one go.<br/>You have a record.,1,1,1,2,2,60,5,8,1,5,1,"Always aware how busy everyone is, so I make clear subject in strapline and only send to certain people - very seldom send to 'allstaff'",1,2,30,Reading emails that are not relevant.<br/>Deleting rubbish - spam<br/>Reading threads to try to pick out what is going on - very confusing on our system,2, , , , ,5,6, ,8,9, ,Content not relevant,8,5,3,8,10,3,5,10,4,8,10,7, ,10,10,10,4,10,2,10, ,1,1,1, ,Yes definitely. We are a really large college now and distance is becoming a major factor.,3,7,Subject lines should be specific.<br/>Don't send chit chat - unless to a friend.<br/>Write less - list points instead of an essay,4,Our system is very complicated and it is going to take some time to get to grips - if I have the time that is! <br/>Threads can be really complicated - hard to see what happenned last,3,"You know the other person's job role well, you have spoken to them on the phone or met them in person. This makes subsequent email comm more effective - you can get to the point or include appropriate comments knowing how they will be received.",6, ,6,4,20,4,2,2,"I consider content and don't send anything inappropriate or offensive, such as jokes, images etc.<br/>I try not to send emails unnecessarily.<br/>I try not to send anything irrelevant.<br/>I don't send anything which is not work related, but this doesn't mean that I won't email someone for a coffee or to see how they are - this is maintaining good working relationships.<br/>",8,1
"The time it takes to read and answer emails especially those that are sent college wide to all staff but have no relevance to many people. This dramatically eats into time that could be better spent preparing for lessons. <br/>Some people do not respond very well to emails, or do not obsorb information very well - so I end up spekaing with them directly. This doubles up on workload.",2,Evidence/tracking that you have asked or responded to a query.,2,2,1,3,2,120,5,10,1,5,1, ,99,2,30,"Reading emails that aren't relevant. <br/>Sending emails to a group of people, half of whom I know wont read them and so I'll have to speak with them any way.",2, ,2, , ,5,6,7,8,9, ,"Agressive tone, sent en masse can has had a negative impact. I feel that when one is working hard and putting in hours over and above to receive emails that are either without respect or demoralising can be quite upsetting.",2,7,9,9,5,8,2,4,8,10,5,8,8.1,7,7,2,7,9.5,8.3,9.4,6.1,2, , , ,Yes,1,0,Aknowledging receipt and understanding of information communicated via email. <br/><br/>People sending emails onyl to those who it is relecant for.,1,No,99,"Respect, prompt and efficient response, each working hard, working well in a team.",6, ,11,4,31,2,2,4, ,99,0
On College Systems when lots are sent to all staff it is time-consuming to check them daily as many are not relevent.,8,Information is set/received  immediately,1,2,1,4,2,45,10,25,2,50,1,Make them bilingual,88,2,12,As a tutor non-contact time is precious to prepare/mark/research,9,1, ,3, ,5,6,7,8,9, ,E-mails are short and to the pont and can lack tact,2,7,9.8,3.2,9.6,5.2,4.9,3,5.5,5.9,7.2,10,9.9,9.8,9.6,5.6,2.9,1.5,6.4,7.3,4.1,2, , , ,"Yes, especially globally",3,7,Time management courses given so tjhat people can prioritise messages,2,Constantly changing provider is confusing,3,Nothibg can replace face 70 face contact,2, ,6,4,49,6,2,4,Asa an hourly paid tutor a lot of basic induction materials is not given so cannot comment on this policy,99,0
NOt interacting face to face with your work collegues,4,Being able to get a message or info out to all areas of the college with one simple process,1,2,1,2,2,90, , ,2,50,2, ,99,2,25,Could be quicker to have a phone conversation,7, , , , , , , ,8, , ,Having e-mails about teaching issues and not being involved in the teaching aspects,8,5,8,10,5, , ,5.1, , , ,10,10,10,10,10,10,10,10,10,10,2, , , ,Yes,1,0,consider if it is nessecary first,7,no,99, ,99, ,4,4,19,2,2,4, ,99,0
"You could send inapprioriate emails due to the ease of access of emails:  send them when you are not 'cool , calm and collected'.<br/><br/>You could send them to the wrong recipients and therefore breach confidentiality.",11,Ease of access of use.<br/><br/>Easy to use.<br/><br/>Contact a lot of people either individually or as part of a collective email.,1,1,1,1, ,5,15,15,2,50,1, ,99,1, , ,99, , , , , , , , , ,10, ,99,7.5,7.5,7.5,7.5,8,8,7.6,7.5,7.7,7.6,8,8,7.8,8.1,7.8,7.9,7.8,7.7,7.7,7.7,1,3, , ,Yes,1,0,Yes,0,No,99,Friendly relations with the other person on a face to faced level.,4, ,5,3,4,4,1,2,I make sure that I stick to the rules.,99,0
The intonation and meaning of an email can come across in the wrong way. <br/>Over reliance on email and and expectancy for immediate responses seems to have increased.,11,Knowing you have sent a message to someone - i.e. proof in your sent items.,2,5,1,5,2,100,50,25,1,7,1,"Working under pressure sometimes we don't always consider the impact, but I would hope most of the time I would do so.",1,1, , ,99, , , , ,5,6,7,8,9, , ,99,5.5,9.3,5.4,10,5,2.4,7.7,6.1,7.6,6.7,9,10,8.6,9,9.4,9.3,8.4,8.8,9,9,2, , , ,Yes,1,0,Taking more time to consider emails before sending responses. Allowing situations to be diffused!,7, ,99,Being able to communicate with colleagues and stakeholders in professional and duly courteuous manner.,2, ,6,3,2,3,2,1,I would not and never would use the College email to the detriment of myself or the institution.,9,1
can be over used and swamp people with needless information,3,easy to communicate with a large number of people quickly an easily.,1,1,3,4,2,35,30,30,2,98,1,need to know basis,1,2,5,sifting thru masses of emails to find the few that are relevant to me.,2, , , , , ,6,7,8,9, ,staff sending emails to tell the entire college that they will be out of the office for an hour or two.,8,1.4,8,8.2,5.9,8.4,1.1,8.8,8.6,8.1,6.9,1.2,5.8,8,7.9,8.4,8,8,8.4,8,7.4,2, , , ,probably,1,0,short courses on appropriate use of email,2,"mobility, although currently our FE email is available externally via the internet.",3,Able to speak openly about issues.,2, ,5,4,18,4,1,3,Honestly?...none. I stick to a moral code and expect it to be similar to the policy.,99,0
Misinterpretation of message on occasions. Sometimes face to face encounter more productive.,11,Access to staff or students quickly and easily.   Great for quick queries where you are unable to locate the person you need to contact but they can reply by email. Geography - you can access in the UK and abroad,1,1,1,1,2,39,30,30,2,97,1,Important for the message not to be offensive but structured,5,1, , ,99, , , , , , , , , ,10, ,99,5.3,5.7,5.2,9,9.6,7.9,6.2,6.6,3.2,3.4,5.8,5.7,5.3,10,6.8,6.2,7.9,6.7,7.2,6.5,2, , , ,yes,1,0,Be more mindful of the wording that is used. Make the emails succint and factual where possible,7,Personal data and also confidential information,4,Good communication between each other a combination of face to face encounters and email.<br/>regular updates within a team to ensure all happy with their situation or goals.,2, ,7,4,20,4,2,2, ,99,0
Lack of personal contact<br/>Less opportunity for the conversation to develop<br/>Not as imediate as a telephone call or a personal conversation<br/>No opportunity to make use of body language / gestures / intonation,4,More measured content - less opportunity to be impulsive<br/>Written record of the conversation<br/>Previous communication can all be in the same trail<br/>No time limits,4,5,1,8,2,51,30,30,1,5,1,Because they can be re-visited,5,2,20,Reading on-essential communication<br/>Deleting spam mail (sometimes reading them first!)<br/>Managing folders,2,1,2,3,4,5,6,7,8,9, ,"An aggressive e.mail - inappropriate in both content and tone - was sent by my line manager, based on inaccurate facts.  This gave rise to a confrontational meeting, which was unnecessary in the first instance.",2,7,2,8,3,9,2,9.5,8,10,10,10,1.5,10,6,8,9.1,10,9.9,10,10,1,1,1, ,"Yes, as systems develop - the use of smart phones and other mobile technology - then usage will increase",3,3,Restriction to more essential communication.  Less spam mail,4,No,99,"One that is based on respect, honesty and integrity",6, ,7,2,55,5,2,1,Increased awareness of protocols and procedures,99,0
